fact_id,date_key,mode_id,ridership_value,recovery_pct
211,20200331,1,7672,26
212,20200331,2,337626,37
213,20200331,3,32211,1
214,20200331,4,16194,5
215,20200331,5,137464,50
216,20200331,6,1043,7
217,20200331,7,508106,9
218,20200401,1,8151,28
219,20200401,2,342221,36
220,20200401,3,29373,1
221,20200401,4,10548,3
222,20200401,5,9300,3
223,20200401,6,720,4
224,20200401,7,513481,9
225,20200402,1,7077,24
226,20200402,2,339734,36
227,20200402,3,26788,1
228,20200402,4,10057,3
229,20200402,5,9492,3
230,20200402,6,882,5
231,20200402,7,485586,9
232,20200403,1,7794,27
233,20200403,2,340272,36
234,20200403,3,24418,1
235,20200403,4,9657,3
236,20200403,5,9770,3
237,20200403,6,843,5
238,20200403,7,483357,9
239,20200404,1,4375,26
240,20200404,2,243323,27
241,20200404,3,13168,1
242,20200404,4,3727,3
243,20200404,5,4451,3
244,20200404,6,425,8
245,20200404,7,282278,9
246,20200405,1,2763,15
247,20200405,2,209151,24
248,20200405,3,9748,1
249,20200405,4,2969,3
250,20200405,5,3601,3
251,20200405,6,300,9
252,20200405,7,227303,9
253,20200406,1,7093,25
254,20200406,2,335768,36
255,20200406,3,22418,1
256,20200406,4,10127,3
257,20200406,5,9832,3
258,20200406,6,819,5
259,20200406,7,445454,8
260,20200407,1,7041,24
261,20200407,2,335469,36
262,20200407,3,21623,1
263,20200407,4,9312,3
264,20200407,5,9589,3
265,20200407,6,732,5
266,20200407,7,434986,8
267,20200408,1,6950,24
268,20200408,2,324881,35
269,20200408,3,20361,1
270,20200408,4,9039,3
271,20200408,5,9292,3
272,20200408,6,721,4
273,20200408,7,427485,8
274,20200409,1,6243,22
275,20200409,2,303480,32
276,20200409,3,18734,1
277,20200409,4,8413,3
278,20200409,5,8931,3
279,20200409,6,690,4
280,20200409,7,404635,7
281,20200410,1,5378,19
282,20200410,2,314099,33
283,20200410,3,17135,1
284,20200410,4,8247,3
285,20200410,5,9573,3
286,20200410,6,672,4
287,20200410,7,400275,7
288,20200411,1,4235,25
289,20200411,2,254754,28
290,20200411,3,9718,1
291,20200411,4,2749,2
292,20200411,5,4179,3
293,20200411,6,406,8
294,20200411,7,257061,8
295,20200412,1,2525,14
296,20200412,2,217871,25
297,20200412,3,7041,1
298,20200412,4,2245,2
299,20200412,5,3281,3
300,20200412,6,294,9
301,20200412,7,198399,8
302,20200413,1,6205,21
303,20200413,2,284608,30
304,20200413,3,14408,1
305,20200413,4,8192,3
306,20200413,5,8824,3
307,20200413,6,649,4
308,20200413,7,363312,7
309,20200414,1,6585,23
310,20200414,2,356104,38
311,20200414,3,17937,1
312,20200414,4,8816,3
313,20200414,5,9592,3
314,20200414,6,791,5
315,20200414,7,430155,8
316,20200415,1,6928,24
317,20200415,2,340212,36
318,20200415,3,16895,1
319,20200415,4,8596,3
320,20200415,5,9492,3
321,20200415,6,792,5
322,20200415,7,419059,8
323,20200416,1,6563,23
324,20200416,2,346341,37
325,20200416,3,16632,1
326,20200416,4,8462,3
327,20200416,5,9528,3
328,20200416,6,790,5
329,20200416,7,420223,8
330,20200417,1,7048,24
331,20200417,2,378350,40
332,20200417,3,16350,1
333,20200417,4,8271,3
334,20200417,5,9989,3
335,20200417,6,738,5
336,20200417,7,432368,8
337,20200418,1,4202,25
338,20200418,2,254734,28
339,20200418,3,8115,1
340,20200418,4,2449,2
341,20200418,5,3965,3
342,20200418,6,339,7
343,20200418,7,254453,8
344,20200419,1,2742,15
345,20200419,2,276406,32
346,20200419,3,6929,1
347,20200419,4,2159,2
348,20200419,5,3884,4
349,20200419,6,340,10
350,20200419,7,224411,9
351,20200420,1,7050,24
352,20200420,2,371776,40
353,20200420,3,16522,1
354,20200420,4,8912,3
355,20200420,5,10063,4
356,20200420,6,770,5
357,20200420,7,437852,8
358,20200421,1,6613,23
359,20200421,2,356098,38
360,20200421,3,15231,1
361,20200421,4,8264,3
362,20200421,5,9374,3
363,20200421,6,753,5
364,20200421,7,422107,8
365,20200422,1,7496,26
366,20200422,2,398703,42
367,20200422,3,16487,1
368,20200422,4,8674,3
369,20200422,5,9694,3
370,20200422,6,793,5
371,20200422,7,458781,8
372,20200423,1,6969,24
373,20200423,2,386937,41
374,20200423,3,15786,1
375,20200423,4,8425,3
376,20200423,5,9527,3
377,20200423,6,780,5
378,20200423,7,453520,8
379,20200424,1,7040,24
380,20200424,2,386935,41
381,20200424,3,14237,1
382,20200424,4,7821,3
383,20200424,5,9722,3
384,20200424,6,688,4
385,20200424,7,443956,8
386,20200425,1,4719,28
387,20200425,2,350299,38
388,20200425,3,8832,1
389,20200425,4,2869,3
390,20200425,5,4987,3
391,20200425,6,449,9
392,20200425,7,295387,9
393,20200426,1,2506,13
394,20200426,2,231540,27
395,20200426,3,5498,1
396,20200426,4,1903,2
397,20200426,5,3495,3
398,20200426,6,309,9
399,20200426,7,218787,9
400,20200427,1,6922,24
401,20200427,2,384123,41
402,20200427,3,15283,1
403,20200427,4,8828,3
404,20200427,5,10243,4
405,20200427,6,812,5
406,20200427,7,462888,8
407,20200428,1,7542,26
408,20200428,2,436346,46
409,20200428,3,16380,1
410,20200428,4,9167,3
411,20200428,5,10531,4
412,20200428,6,826,5
413,20200428,7,489247,9
414,20200429,1,7844,27
415,20200429,2,410502,44
416,20200429,3,15406,1
417,20200429,4,9100,3
418,20200429,5,10165,4
419,20200429,6,790,5
420,20200429,7,477799,9
421,20200430,1,7253,25
422,20200430,2,405168,43
423,20200430,3,14062,1
424,20200430,4,9335,3
425,20200430,5,9971,3
426,20200430,6,764,5
427,20200430,7,465869,8
428,20200501,1,8332,28
429,20200501,2,445621,46
430,20200501,3,14893,1
431,20200501,4,6200,2
432,20200501,5,9206,3
433,20200501,6,763,4
434,20200501,7,494549,9
435,20200502,1,5493,32
436,20200502,2,401938,42
437,20200502,3,8912,1
438,20200502,4,3959,3
439,20200502,5,5908,4
440,20200502,6,489,10
441,20200502,7,325865,10
442,20200503,1,3263,19
443,20200503,2,353314,41
444,20200503,3,6404,1
445,20200503,4,3314,3
446,20200503,5,4839,5
447,20200503,6,334,9
448,20200503,7,258865,11
449,20200504,1,8287,28
450,20200504,2,447424,46
451,20200504,3,16315,1
452,20200504,4,11158,3
453,20200504,5,10764,4
454,20200504,6,897,5
455,20200504,7,511866,9
456,20200505,1,8445,29
457,20200505,2,462085,48
458,20200505,3,16377,1
459,20200505,4,13265,4
460,20200505,5,10604,4
461,20200505,6,894,5
462,20200505,7,522085,9
463,20200506,1,8832,30
464,20200506,2,444179,46
465,20200506,3,15677,1
466,20200506,4,14489,5
467,20200506,5,10107,4
468,20200506,6,822,5
469,20200506,7,508824,9
470,20200507,1,8509,29
471,20200507,2,488836,51
472,20200507,3,16130,1
473,20200507,4,16139,5
474,20200507,5,11247,4
475,20200507,6,930,5
476,20200507,7,535073,9
477,20200508,1,8656,29
478,20200508,2,483830,50
479,20200508,3,14571,1
480,20200508,4,15714,5
481,20200508,5,11242,4
482,20200508,6,811,5
483,20200508,7,526054,9
484,20200509,1,5055,29
485,20200509,2,371426,39
486,20200509,3,7594,1
487,20200509,4,7651,6
488,20200509,5,6017,4
489,20200509,6,489,10
490,20200509,7,316883,10
491,20200510,1,3962,23
492,20200510,2,415867,49
493,20200510,3,6367,1
494,20200510,4,7990,8
495,20200510,5,5878,6
496,20200510,6,406,12
497,20200510,7,271947,11
498,20200511,1,7636,26
499,20200511,2,458041,48
500,20200511,3,15176,1
501,20200511,4,18349,6
502,20200511,5,11434,4
503,20200511,6,829,5
504,20200511,7,520873,9
505,20200512,1,8271,28
506,20200512,2,488406,51
507,20200512,3,15989,1
508,20200512,4,19018,6
509,20200512,5,11488,4
510,20200512,6,914,5
511,20200512,7,553372,10
512,20200513,1,9437,32
513,20200513,2,509243,53
514,20200513,3,16170,1
515,20200513,4,19356,6
516,20200513,5,11931,4
517,20200513,6,956,5
518,20200513,7,565377,10
519,20200514,1,8855,30
520,20200514,2,520395,54
521,20200514,3,15905,1
522,20200514,4,19310,6
523,20200514,5,12131,4
524,20200514,6,923,5
525,20200514,7,567392,10
526,20200515,1,9473,32
527,20200515,2,562990,58
528,20200515,3,15481,1
529,20200515,4,20092,6
530,20200515,5,12936,5
531,20200515,6,976,6
532,20200515,7,587808,10
533,20200516,1,5947,34
534,20200516,2,477097,50
535,20200516,3,8742,1
536,20200516,4,11075,9
537,20200516,5,8100,5
538,20200516,6,485,10
539,20200516,7,360844,11
540,20200517,1,3577,21
541,20200517,2,391606,46
542,20200517,3,6504,1
543,20200517,4,8793,9
544,20200517,5,6168,6
545,20200517,6,337,10
546,20200517,7,287418,12
547,20200518,1,8969,31
548,20200518,2,505314,53
549,20200518,3,17206,1
550,20200518,4,22113,7
551,20200518,5,13141,5
552,20200518,6,1036,6
553,20200518,7,595469,10
554,20200519,1,9290,32
555,20200519,2,524482,54
556,20200519,3,17296,1
557,20200519,4,21599,7
558,20200519,5,12777,4
559,20200519,6,1067,6
560,20200519,7,610884,11
561,20200520,1,10224,35
562,20200520,2,542409,56
563,20200520,3,17674,1
564,20200520,4,22224,7
565,20200520,5,12753,4
566,20200520,6,1044,6
567,20200520,7,623749,11
568,20200521,1,9731,33
569,20200521,2,585552,61
570,20200521,3,17565,1
571,20200521,4,22585,7
572,20200521,5,13294,5
573,20200521,6,1069,6
574,20200521,7,629298,11
