date,date_key,year,quarter,month,month_name,day,day_name,transport_mode,value_type,ridership_value,recovery_pct
2020-03-09,20200309,2020,1,3,March,9,Monday,Bridges and Tunnels,Total Traffic,860073,93
2020-03-09,20200309,2020,1,3,March,9,Monday,Buses,Estimated Ridership,2124770,95
2020-03-09,20200309,2020,1,3,March,9,Monday,LIRR,Estimated Ridership,277001,88
2020-03-09,20200309,2020,1,3,March,9,Monday,Metro-North,Estimated Ridership,183953,67
2020-03-09,20200309,2020,1,3,March,9,Monday,Staten Island Railway,Estimated Ridership,16122,101
2020-03-09,20200309,2020,1,3,March,9,Monday,Subways,Estimated Ridership,4973513,89
2020-03-10,20200310,2020,1,3,March,10,Tuesday,Access-A-Ride,Scheduled Trips,31315,105
2020-03-10,20200310,2020,1,3,March,10,Tuesday,Bridges and Tunnels,Total Traffic,855585,93
2020-03-10,20200310,2020,1,3,March,10,Tuesday,Buses,Estimated Ridership,2111989,94
2020-03-10,20200310,2020,1,3,March,10,Tuesday,LIRR,Estimated Ridership,259324,83
2020-03-10,20200310,2020,1,3,March,10,Tuesday,Metro-North,Estimated Ridership,179050,65
2020-03-10,20200310,2020,1,3,March,10,Tuesday,Staten Island Railway,Estimated Ridership,15805,99
2020-03-10,20200310,2020,1,3,March,10,Tuesday,Subways,Estimated Ridership,4867818,87
2020-03-11,20200311,2020,1,3,March,11,Wednesday,Access-A-Ride,Scheduled Trips,32198,108
2020-03-11,20200311,2020,1,3,March,11,Wednesday,Bridges and Tunnels,Total Traffic,866706,94
2020-03-11,20200311,2020,1,3,March,11,Wednesday,Buses,Estimated Ridership,2112967,94
2020-03-11,20200311,2020,1,3,March,11,Wednesday,LIRR,Estimated Ridership,245798,78
2020-03-11,20200311,2020,1,3,March,11,Wednesday,Metro-North,Estimated Ridership,175074,63
2020-03-11,20200311,2020,1,3,March,11,Wednesday,Staten Island Railway,Estimated Ridership,15340,96
2020-03-11,20200311,2020,1,3,March,11,Wednesday,Subways,Estimated Ridership,4697122,84
2020-03-12,20200312,2020,1,3,March,12,Thursday,Access-A-Ride,Scheduled Trips,30814,104
2020-03-12,20200312,2020,1,3,March,12,Thursday,Bridges and Tunnels,Total Traffic,881188,96
2020-03-12,20200312,2020,1,3,March,12,Thursday,Buses,Estimated Ridership,1938424,86
2020-03-12,20200312,2020,1,3,March,12,Thursday,LIRR,Estimated Ridership,197178,63
2020-03-12,20200312,2020,1,3,March,12,Thursday,Metro-North,Estimated Ridership,169547,61
2020-03-12,20200312,2020,1,3,March,12,Thursday,Staten Island Railway,Estimated Ridership,14169,89
2020-03-12,20200312,2020,1,3,March,12,Thursday,Subways,Estimated Ridership,4149505,75
2020-03-13,20200313,2020,1,3,March,13,Friday,Access-A-Ride,Scheduled Trips,26640,90
2020-03-13,20200313,2020,1,3,March,13,Friday,Bridges and Tunnels,Total Traffic,860419,93
2020-03-13,20200313,2020,1,3,March,13,Friday,Buses,Estimated Ridership,1715737,77
2020-03-13,20200313,2020,1,3,March,13,Friday,LIRR,Estimated Ridership,158582,51
2020-03-13,20200313,2020,1,3,March,13,Friday,Metro-North,Estimated Ridership,167176,61
2020-03-13,20200313,2020,1,3,March,13,Friday,Staten Island Railway,Estimated Ridership,11769,74
2020-03-13,20200313,2020,1,3,March,13,Friday,Subways,Estimated Ridership,3484996,63
2020-03-14,20200314,2020,1,3,March,14,Saturday,Access-A-Ride,Scheduled Trips,13394,79
2020-03-14,20200314,2020,1,3,March,14,Saturday,Bridges and Tunnels,Total Traffic,631101,72
2020-03-14,20200314,2020,1,3,March,14,Saturday,Buses,Estimated Ridership,993287,75
2020-03-14,20200314,2020,1,3,March,14,Saturday,LIRR,Estimated Ridership,44885,42
2020-03-14,20200314,2020,1,3,March,14,Saturday,Metro-North,Estimated Ridership,39701,29
2020-03-14,20200314,2020,1,3,March,14,Saturday,Staten Island Railway,Estimated Ridership,2135,42
2020-03-14,20200314,2020,1,3,March,14,Saturday,Subways,Estimated Ridership,1670665,54
2020-03-15,20200315,2020,1,3,March,15,Sunday,Access-A-Ride,Scheduled Trips,12480,71
2020-03-15,20200315,2020,1,3,March,15,Sunday,Bridges and Tunnels,Total Traffic,535987,66
2020-03-15,20200315,2020,1,3,March,15,Sunday,Buses,Estimated Ridership,711555,72
2020-03-15,20200315,2020,1,3,March,15,Sunday,LIRR,Estimated Ridership,33407,38
2020-03-15,20200315,2020,1,3,March,15,Sunday,Metro-North,Estimated Ridership,32641,35
2020-03-15,20200315,2020,1,3,March,15,Sunday,Staten Island Railway,Estimated Ridership,1368,43
2020-03-15,20200315,2020,1,3,March,15,Sunday,Subways,Estimated Ridership,1157711,51
2020-03-16,20200316,2020,1,3,March,16,Monday,Access-A-Ride,Scheduled Trips,21145,71
2020-03-16,20200316,2020,1,3,March,16,Monday,Bridges and Tunnels,Total Traffic,708869,77
2020-03-16,20200316,2020,1,3,March,16,Monday,Buses,Estimated Ridership,1237309,55
2020-03-16,20200316,2020,1,3,March,16,Monday,LIRR,Estimated Ridership,119333,38
2020-03-16,20200316,2020,1,3,March,16,Monday,Metro-North,Estimated Ridership,153262,56
2020-03-16,20200316,2020,1,3,March,16,Monday,Staten Island Railway,Estimated Ridership,5741,36
2020-03-16,20200316,2020,1,3,March,16,Monday,Subways,Estimated Ridership,2178555,39
2020-03-17,20200317,2020,1,3,March,17,Tuesday,Access-A-Ride,Scheduled Trips,18173,61
2020-03-17,20200317,2020,1,3,March,17,Tuesday,Bridges and Tunnels,Total Traffic,650444,71
2020-03-17,20200317,2020,1,3,March,17,Tuesday,Buses,Estimated Ridership,1094949,49
2020-03-17,20200317,2020,1,3,March,17,Tuesday,LIRR,Estimated Ridership,83578,27
2020-03-17,20200317,2020,1,3,March,17,Tuesday,Metro-North,Estimated Ridership,147391,53
2020-03-17,20200317,2020,1,3,March,17,Tuesday,Staten Island Railway,Estimated Ridership,4573,29
2020-03-17,20200317,2020,1,3,March,17,Tuesday,Subways,Estimated Ridership,1788786,32
2020-03-18,20200318,2020,1,3,March,18,Wednesday,Access-A-Ride,Scheduled Trips,15942,54
2020-03-18,20200318,2020,1,3,March,18,Wednesday,Bridges and Tunnels,Total Traffic,634853,69
2020-03-18,20200318,2020,1,3,March,18,Wednesday,Buses,Estimated Ridership,1059502,47
2020-03-18,20200318,2020,1,3,March,18,Wednesday,LIRR,Estimated Ridership,74883,24
2020-03-18,20200318,2020,1,3,March,18,Wednesday,Metro-North,Estimated Ridership,146118,53
2020-03-18,20200318,2020,1,3,March,18,Wednesday,Staten Island Railway,Estimated Ridership,4133,26
2020-03-18,20200318,2020,1,3,March,18,Wednesday,Subways,Estimated Ridership,1625280,29
2020-03-19,20200319,2020,1,3,March,19,Thursday,Access-A-Ride,Scheduled Trips,14116,47
2020-03-19,20200319,2020,1,3,March,19,Thursday,Bridges and Tunnels,Total Traffic,569696,62
2020-03-19,20200319,2020,1,3,March,19,Thursday,Buses,Estimated Ridership,933602,42
2020-03-19,20200319,2020,1,3,March,19,Thursday,LIRR,Estimated Ridership,59538,19
2020-03-19,20200319,2020,1,3,March,19,Thursday,Metro-North,Estimated Ridership,144466,52
2020-03-19,20200319,2020,1,3,March,19,Thursday,Staten Island Railway,Estimated Ridership,3452,22
2020-03-19,20200319,2020,1,3,March,19,Thursday,Subways,Estimated Ridership,1422112,26
2020-03-20,20200320,2020,1,3,March,20,Friday,Access-A-Ride,Scheduled Trips,12744,43
2020-03-20,20200320,2020,1,3,March,20,Friday,Bridges and Tunnels,Total Traffic,563261,61
2020-03-20,20200320,2020,1,3,March,20,Friday,Buses,Estimated Ridership,868602,39
2020-03-20,20200320,2020,1,3,March,20,Friday,LIRR,Estimated Ridership,50021,16
2020-03-20,20200320,2020,1,3,March,20,Friday,Metro-North,Estimated Ridership,145160,53
2020-03-20,20200320,2020,1,3,March,20,Friday,Staten Island Railway,Estimated Ridership,3124,20
2020-03-20,20200320,2020,1,3,March,20,Friday,Subways,Estimated Ridership,1309125,24
2020-03-21,20200321,2020,1,3,March,21,Saturday,Access-A-Ride,Scheduled Trips,6467,38
2020-03-21,20200321,2020,1,3,March,21,Saturday,Bridges and Tunnels,Total Traffic,382992,44
2020-03-21,20200321,2020,1,3,March,21,Saturday,Buses,Estimated Ridership,411491,31
2020-03-21,20200321,2020,1,3,March,21,Saturday,LIRR,Estimated Ridership,12438,12
2020-03-21,20200321,2020,1,3,March,21,Saturday,Metro-North,Estimated Ridership,23700,17
2020-03-21,20200321,2020,1,3,March,21,Saturday,Staten Island Railway,Estimated Ridership,1044,21
2020-03-21,20200321,2020,1,3,March,21,Saturday,Subways,Estimated Ridership,619618,20
2020-03-22,20200322,2020,1,3,March,22,Sunday,Access-A-Ride,Scheduled Trips,4824,27
2020-03-22,20200322,2020,1,3,March,22,Sunday,Bridges and Tunnels,Total Traffic,277050,34
2020-03-22,20200322,2020,1,3,March,22,Sunday,Buses,Estimated Ridership,73517,7
2020-03-22,20200322,2020,1,3,March,22,Sunday,LIRR,Estimated Ridership,8891,10
2020-03-22,20200322,2020,1,3,March,22,Sunday,Metro-North,Estimated Ridership,20830,22
2020-03-22,20200322,2020,1,3,March,22,Sunday,Staten Island Railway,Estimated Ridership,641,20
2020-03-22,20200322,2020,1,3,March,22,Sunday,Subways,Estimated Ridership,408723,18
2020-03-23,20200323,2020,1,3,March,23,Monday,Access-A-Ride,Scheduled Trips,9902,33
2020-03-23,20200323,2020,1,3,March,23,Monday,Bridges and Tunnels,Total Traffic,361513,39
2020-03-23,20200323,2020,1,3,March,23,Monday,Buses,Estimated Ridership,59321,3
2020-03-23,20200323,2020,1,3,March,23,Monday,LIRR,Estimated Ridership,30564,10
2020-03-23,20200323,2020,1,3,March,23,Monday,Metro-North,Estimated Ridership,139285,51
2020-03-23,20200323,2020,1,3,March,23,Monday,Staten Island Railway,Estimated Ridership,1639,10
2020-03-23,20200323,2020,1,3,March,23,Monday,Subways,Estimated Ridership,709499,13
2020-03-24,20200324,2020,1,3,March,24,Tuesday,Access-A-Ride,Scheduled Trips,9133,31
2020-03-24,20200324,2020,1,3,March,24,Tuesday,Bridges and Tunnels,Total Traffic,395493,43
2020-03-24,20200324,2020,1,3,March,24,Tuesday,Buses,Estimated Ridership,60334,3
2020-03-24,20200324,2020,1,3,March,24,Tuesday,LIRR,Estimated Ridership,29785,10
2020-03-24,20200324,2020,1,3,March,24,Tuesday,Metro-North,Estimated Ridership,139194,50
2020-03-24,20200324,2020,1,3,March,24,Tuesday,Staten Island Railway,Estimated Ridership,1727,11
2020-03-24,20200324,2020,1,3,March,24,Tuesday,Subways,Estimated Ridership,741587,13
2020-03-25,20200325,2020,1,3,March,25,Wednesday,Access-A-Ride,Scheduled Trips,9512,32
2020-03-25,20200325,2020,1,3,March,25,Wednesday,Bridges and Tunnels,Total Traffic,375767,41
2020-03-25,20200325,2020,1,3,March,25,Wednesday,Buses,Estimated Ridership,51769,2
2020-03-25,20200325,2020,1,3,March,25,Wednesday,LIRR,Estimated Ridership,26143,8
2020-03-25,20200325,2020,1,3,March,25,Wednesday,Metro-North,Estimated Ridership,138239,50
2020-03-25,20200325,2020,1,3,March,25,Wednesday,Staten Island Railway,Estimated Ridership,1572,10
2020-03-25,20200325,2020,1,3,March,25,Wednesday,Subways,Estimated Ridership,690032,12
2020-03-26,20200326,2020,1,3,March,26,Thursday,Access-A-Ride,Scheduled Trips,8795,30
2020-03-26,20200326,2020,1,3,March,26,Thursday,Bridges and Tunnels,Total Traffic,390117,42
2020-03-26,20200326,2020,1,3,March,26,Thursday,Buses,Estimated Ridership,49970,2
2020-03-26,20200326,2020,1,3,March,26,Thursday,LIRR,Estimated Ridership,23809,8
2020-03-26,20200326,2020,1,3,March,26,Thursday,Metro-North,Estimated Ridership,138668,50
2020-03-26,20200326,2020,1,3,March,26,Thursday,Staten Island Railway,Estimated Ridership,1563,10
2020-03-26,20200326,2020,1,3,March,26,Thursday,Subways,Estimated Ridership,680360,12
2020-03-27,20200327,2020,1,3,March,27,Friday,Access-A-Ride,Scheduled Trips,8409,28
2020-03-27,20200327,2020,1,3,March,27,Friday,Bridges and Tunnels,Total Traffic,396777,43
2020-03-27,20200327,2020,1,3,March,27,Friday,Buses,Estimated Ridership,45514,2
2020-03-27,20200327,2020,1,3,March,27,Friday,LIRR,Estimated Ridership,20355,6
2020-03-27,20200327,2020,1,3,March,27,Friday,Metro-North,Estimated Ridership,138903,50
2020-03-27,20200327,2020,1,3,March,27,Friday,Staten Island Railway,Estimated Ridership,1495,9
2020-03-27,20200327,2020,1,3,March,27,Friday,Subways,Estimated Ridership,656817,12
2020-03-28,20200328,2020,1,3,March,28,Saturday,Access-A-Ride,Scheduled Trips,4491,27
2020-03-28,20200328,2020,1,3,March,28,Saturday,Bridges and Tunnels,Total Traffic,240702,28
2020-03-28,20200328,2020,1,3,March,28,Saturday,Buses,Estimated Ridership,19745,1
2020-03-28,20200328,2020,1,3,March,28,Saturday,LIRR,Estimated Ridership,5279,5
2020-03-28,20200328,2020,1,3,March,28,Saturday,Metro-North,Estimated Ridership,19088,14
